Recommended_Age_Start(months),Recommended_Age_End(months),Food(per 100g),Calcium(mg),Protein(g),Carbohydrate(g),Fat(g),Calorie(kcal),Price_per_product(IDR),weight_product(g),Notes
0,6,ASI (Air Susu Ibu),34,1.2,7,4.2,70,0,100,ASI Eksklusif direkomendasikan oleh WHO sebagai sumber nutrisi eksklusif.
0,6,Susu Formula Bayi 0-6 bulan,50,1.5,7.2,3.6,67,15800,150,Contoh merek: Bebelac Gold 1 SGM 1 Dancow 1. Ikuti petunjuk penyajian pada kemasan.
6,12,Susu Formula Lanjutan 6-12 bulan,65,1.8,8,3.8,72,15800,150,Contoh merek: Bebelac Gold 2 SGM 2 Dancow 2. Diperkaya dengan zat besi dan vitamin esensial.
6,8,Bubur Susu Beras Merah,45,3.5,25,1,123,7100,120,"MPASI awal dengan tekstur halus. Campur beras merah halus dengan susu formula atau ASI. Contoh Merek: Nestle, SUN"
6,8,Bubur Susu Beras Putih,40,3.2,24,0.9,120,10500,120,"MPASI awal dengan tekstur halus. Campur beras putih halus dengan susu formula atau ASI. Contoh Merek: Nestle, SUN"
6,8,Pisang Lumat,6,1.2,22.8,0.2,89,20000,1000,Pisang matang dilumatkan hingga halus. Ideal untuk pengenalan MPASI.
6,8,Pure Alpukat,10,2,8.5,14.7,160,8000,100,Alpukat matang dilumatkan. Sumber lemak baik untuk perkembangan otak bayi.
6,8,Pure Apel,5,0.3,13.8,0.2,52,8000,100,Apel kukus yang dihaluskan. Pastikan teksturnya sangat halus untuk menghindari risiko tersedak.
6,8,Pure Wortel,33,0.9,9.6,0.2,41,10000,500,Wortel kukus yang dihaluskan. Kaya beta-karoten yang baik untuk penglihatan.
6,8,SUN Nasi Tim Saring,10,2.1,28,0.3,123,10200,100,Nasi yang sangat halus dan dicampur dengan kaldu sayur atau daging.
6,8,Bubur Ayam Saring,15,4.5,15,2.5,101,18400,100,Ayam rebus yang dihaluskan dan dicampur dengan nasi halus. Tinggi protein.
6,8,Pure Kentang,12,2,17,0.1,77,10000,500,Kentang kukus yang dihaluskan. Sumber karbohidrat yang baik.
6,8,Pure Ubi Jalar Kuning,30,1.6,20,0.1,86,11000,1000,Ubi jalar kukus yang dihaluskan. Kaya vitamin A.
6,8,Sup Bayam Saring,99,3,3.6,0.4,23,5000,150,Bayam rebus yang dihaluskan dan disaring. Kaya zat besi.
6,8,Pure Labu Kuning,21,1.1,6.5,0.1,26,12500,500,Labu kuning kukus yang dihaluskan. Sumber beta-karoten.
9,12,Tim Ikan Giling,20,16,0,1,74,41000,500,Ikan kukus yang digiling halus. Sumber omega-3 yang baik.
9,12,Tim Hati Ayam,8,16.6,0,3.2,94,20000,500,Hati ayam rebus yang dihaluskan. Kaya zat besi dan vitamin A.
9,12,Tim Daging Sapi Giling,7,18.8,0,14,200,40000,500,Daging sapi rebus yang digiling. Tinggi protein dan zat besi.
9,12,Bubur Kacang Hijau,125,7.5,19,0.5,112,8000,250,Kacang hijau yang direbus dan dihaluskan. Sumber protein nabati.
9,12,Pure Tofu,105,8,1.9,4.8,76,5000,250,Tofu yang dihaluskan. Sumber protein dan kalsium.
9,12,Oatmeal Bayi (Oatmeal Hepi),54,2.4,12,1.4,71,10000,50,Oatmeal yang dimasak dengan tekstur sangat halus. Sumber serat.
9,12,Biskuit Bayi (promina),170,6.3,75,9,408,19000,150,Biskuit khusus bayi yang mudah larut dalam mulut. Sumber energi cepat.
9,12,Pure Brokoli,47,2.8,7,0.4,34,10000,250,Brokoli kukus yang dihaluskan. Kaya antioksidan dan vitamin C.
9,12,Sup Tahu Wortel,80,5.2,4.8,3.2,69,9000,250,Tahu dan wortel yang dihaluskan dalam sup. Sumber protein dan beta-karoten.
9,12,Pure Edamame,63,11,8.9,4.7,121,20000,500,Edamame yang dihaluskan. Tinggi protein dan lemak sehat.
12,60,Bubur Sumsum,95,3.2,32,2.1,160,10000,400,Bubur sumsum tulang sapi. Kaya kalsium dan protein.
12,60,Tim Telur,50,12.8,0.7,11.5,155,18000,500,Telur rebus yang dihaluskan. Sumber protein dan lemak sehat.
12,60,Pure Jagung Manis,2,3.3,19,1,98,10000,500,Jagung manis yang dihaluskan. Sumber energi dan serat.
12,60,Sup Makaroni Sayur,15,3.5,16,0.9,86,12000,250,Makaroni dengan sayuran yang dihaluskan. Makanan lengkap dengan karbohidrat dan sayuran.
12,60,Pure Kembang Kol,22,1.9,5,0.3,25,10000,250,Kembang kol yang dihaluskan. Sumber vitamin C dan K.
12,60,Tim Udang,70,20.3,0,1.7,98,35000,500,Udang yang dihaluskan. Sumber protein dan omega-3.
12,60,Bubur Havermut Susu,80,4,17,2.5,107,15000,200,Havermut yang dimasak dengan susu. Sumber energi dan serat.
